City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,hadibu,12.65,54.0333,28.31,73,100,0.79,YE,1683859557
348,gillette,44.2911,-105.5022,9.4,94,100,5.66,US,1683859558
349,poltavka,54.3663,71.7632,8.79,50,0,5.2,RU,1683859558
350,beykonak,36.3257,30.303,19.98,65,74,1.1,TR,1683859558
351,lohaghat,29.4036,80.0897,21.99,22,4,0.93,IN,1683859558
352,codrington,-38.2667,141.9667,14.87,60,78,2.89,AU,1683859559
353,zhangjiakou,40.81,114.8794,20.55,27,83,2.3,CN,1683859559
354,mccook,40.2019,-100.6257,12.03,94,0,4.63,US,1683859559
355,santa maria del oro,25.9333,-105.3667,20.91,10,33,8.51,MX,1683859559
356,watertown,42.3709,-71.1828,16.16,61,75,2.57,US,1683859559
357,altamont,42.2068,-121.7372,19.38,32,40,2.06,US,1683859560
358,kayangel,8.0823,134.7173,28.93,72,30,0.97,PW,1683859560
359,banda aceh,5.5577,95.3222,29.97,69,99,1.08,ID,1683859560
360,hotaka,36.3396,137.8825,18.39,45,75,2.57,JP,1683859560
361,nantucket,41.2835,-70.0995,14.04,70,0,3.6,US,1683859541
362,copala,16.65,-98.9833,27.43,72,24,2.47,MX,1683859561
363,muynoq,43.7683,59.0214,24.3,33,4,1.17,UZ,1683859562
364,trairi,-3.2778,-39.2689,24.63,86,56,1.48,BR,1683859362
